Person,gFx,gFy,gFz,TgF,Label
1,0.1421,-0.002,0.9927,1,6
1,0.1602,0.0005,0.9948,1.01,6
1,0.1656,0.0048,0.9894,1,6
1,0.1641,0.0053,0.986,1,6
1,0.1593,-0.0021,0.9787,0.99,6
1,0.1535,-0.0045,0.9728,0.98,6
1,0.1568,-0.0089,0.9743,0.99,6
1,0.1499,-0.0084,0.983,0.99,6
1,0.1558,-0.0039,0.9987,1.01,6
1,0.1616,-0.0049,0.9934,1.01,6
1,0.1665,-0.0049,0.9886,1,6
1,0.1572,-0.0103,0.9919,1,6
1,0.148,-0.0117,0.9894,1,6
1,0.1514,-0.0064,0.983,0.99,6
1,0.1534,-0.0005,0.985,1,6
1,0.1583,0.0024,0.9904,1,6
1,0.1592,-0.004,0.988,1,6
1,0.1577,-0.0084,0.9861,1,6
1,0.1563,-0.002,0.985,1,6
1,0.1573,-0.0005,0.9855,1,6
1,0.1534,-0.0001,0.9884,1,6
1,0.1558,-0.001,0.9885,1,6
1,0.1587,-0.0064,0.9871,1,6
1,0.1587,-0.0074,0.9885,1,6
1,0.1597,-0.0079,0.9851,1,6
1,0.1577,-0.0089,0.9851,1,6
1,0.1597,-0.0098,0.9851,1,6
1,0.1616,-0.0093,0.9851,1,6
1,0.1616,-0.0079,0.9856,1,6
1,0.1611,-0.004,0.9856,1,6
1,0.1568,-0.0079,0.9875,1,6
1,0.1524,-0.0054,0.983,0.99,6
1,0.1646,0.0019,0.9875,1,6
1,0.1671,0.0029,0.988,1,6
1,0.1738,-0.002,0.9988,1.01,6
1,0.1738,-0.0055,0.9872,1,6
1,0.1519,0,0.9889,1,6
1,0.1554,0.0029,0.9816,0.99,6
1,0.1554,0.0029,0.9816,0.99,6
1,0.1641,-0.0031,0.9797,0.99,6
1,0.172,-0.006,0.9808,1,6
1,0.1729,-0.0065,0.9857,1,6
1,0.167,-0.0065,0.9847,1,6
1,0.167,-0.0065,0.9847,1,6
1,0.1661,-0.0055,0.9827,1,6
1,0.1577,-0.0064,0.9855,1,6
1,0.1602,-0.0089,0.991,1,6
1,0.1783,-0.0065,0.9785,0.99,6
1,0.1783,-0.0065,0.9785,0.99,6
1,0.1763,-0.0051,0.9813,1,6
1,0.1665,-0.0059,0.9901,1,6
1,0.1641,-0.006,0.9846,1,6
1,0.1676,-0.0001,0.9822,1,6
1,0.1676,0.0004,0.9827,1,6
1,0.1749,-0.0011,0.9823,1,6
1,0.1749,-0.0056,0.9789,0.99,6
1,0.1676,-0.0021,0.9822,1,6
1,0.167,-0.0026,0.9861,1,6
1,0.1699,-0.0021,0.9861,1,6
